Airport,Expense ($)
ABQ,"10,270,064"
ANC,"17,880,282"
ATL,"127,766,760"
BOI,"5,241,455"
BOS,"216,608,688"
BZN,"2,505,139"
CLT,"71,714,652"
DEN,"305,577,669"
DSM,"5,480,486"
FSD,"1,151,730"
HOU,"31,224,798"
IAD,"123,232,181"
IAH,"102,236,791"
JAC,"4,259,934"
JFK,"732,583,631"
LAS,"128,856,242"
LAX,"688,886,304"
LGA,"62,486,809"
MCO,"169,734,808"
MIA,"404,209,649"
MSP,"90,217,787"
OKC,"6,981,484"
ORD,"467,484,049"
PDX,"133,323,082"
PHX,"136,410,359"
SEA,"279,692,188"
SFO,"523,003,472"
SLC,"55,670,667"
STL,"4,654,196"
