datetime,temperature_C,dew_point_C,humidity_percent,precipitation_mm,snow,wind_direction_deg,wind_speed_kmh,wind_gust_kmh,pressure_hPa,sunshine_minutes,weather_code,Origin_Airport
2010-01-01 02:00:00,7.2,6.8,97.0,0.0,,280.0,7.6,,1019.6,,,ATL
2010-01-01 04:00:00,6.7,6.7,100.0,0.0,,270.0,5.4,,1019.5,,,ATL
2010-01-01 06:00:00,6.7,6.7,100.0,0.0,,270.0,7.6,,1019.1,,,ATL
2010-01-01 08:00:00,6.7,5.6,93.0,0.0,,330.0,16.6,,1018.8,,,ATL
2010-01-01 10:00:00,6.1,4.4,89.0,0.0,,330.0,20.5,,1017.8,,,ATL
2010-01-01 12:00:00,5.0,2.9,86.0,0.0,,320.0,20.5,,1018.8,,,ATL
2010-01-01 14:00:00,3.9,0.6,79.0,0.0,,340.0,31.7,,1020.2,,,ATL
2010-01-01 16:00:00,4.4,-0.6,70.0,0.0,,330.0,33.5,,1020.8,,,ATL
2010-01-01 18:00:00,7.2,-1.7,53.0,0.0,,320.0,37.1,,1019.8,,,ATL
2010-01-01 20:00:00,7.8,-4.0,43.0,0.0,,340.0,31.7,,1019.0,,,ATL
2010-01-01 22:00:00,6.7,-5.6,41.0,0.0,,330.0,31.7,,1019.6,,,ATL
2010-01-02 00:00:00,3.3,-5.6,52.0,0.0,,330.0,24.1,,1021.3,,,ATL
2010-01-02 02:00:00,1.1,-6.7,56.0,0.0,,310.0,24.1,,1022.9,,,ATL
2010-01-02 04:00:00,-0.6,-7.2,61.0,0.0,,310.0,20.5,,1023.6,,,ATL
2010-01-02 06:00:00,-1.7,-8.2,61.0,0.0,,310.0,22.3,,1022.7,,,ATL
2010-01-02 08:00:00,-2.8,-9.5,60.0,0.0,,320.0,27.7,,1022.8,,,ATL
2010-01-02 10:00:00,-3.9,-9.3,66.0,0.0,,320.0,20.5,,1023.0,,,ATL
2010-01-02 12:00:00,-4.4,-9.4,68.0,0.0,,310.0,14.8,,1023.7,,,ATL
2010-01-02 14:00:00,-4.4,-10.0,65.0,0.0,,320.0,31.7,,1024.7,,,ATL
2010-01-02 16:00:00,-2.2,-10.0,55.0,0.0,,320.0,24.1,,1025.7,,,ATL
2010-01-02 18:00:00,-0.6,-10.0,49.0,0.0,,310.0,24.1,,1024.5,,,ATL
2010-01-02 20:00:00,0.6,-11.8,39.0,0.0,,340.0,25.9,,1023.9,,,ATL
2010-01-02 22:00:00,-0.6,-12.8,39.0,0.0,,320.0,18.4,,1024.0,,,ATL
2010-01-03 00:00:00,-2.8,-12.3,48.0,0.0,,310.0,16.6,,1024.9,,,ATL
2010-01-03 02:00:00,-3.3,-12.2,50.0,0.0,,340.0,25.9,,1024.5,,,ATL
2010-01-03 04:00:00,-4.4,-12.8,52.0,0.0,,330.0,24.1,,1024.8,,,ATL
2010-01-03 06:00:00,-5.6,-12.1,60.0,0.0,,330.0,16.6,,1024.1,,,ATL
2010-01-03 08:00:00,-6.7,-12.8,62.0,0.0,,330.0,20.5,,1023.8,,,ATL
2010-01-03 10:00:00,-7.2,-12.8,64.0,0.0,,310.0,16.6,,1023.4,,,ATL
2010-01-03 12:00:00,-7.8,-12.8,67.0,0.0,,330.0,18.4,,1023.2,,,ATL
2010-01-03 14:00:00,-6.1,-12.8,59.0,0.0,,310.0,27.7,,1023.9,,,ATL
2010-01-03 16:00:00,-3.9,-13.8,46.0,0.0,,330.0,22.3,,1024.6,,,ATL
2010-01-03 18:00:00,-0.6,-16.0,30.0,0.0,,310.0,25.9,,1022.3,,,ATL
2010-01-03 20:00:00,0.6,-17.6,24.0,0.0,,330.0,24.1,,1021.0,,,ATL
2010-01-03 22:00:00,0.0,-15.9,29.0,0.0,,300.0,29.5,,1021.4,,,ATL
2010-01-04 00:00:00,-2.2,-17.0,31.0,0.0,,330.0,20.5,,1022.4,,,ATL
2010-01-04 02:00:00,-3.3,-16.6,35.0,0.0,,340.0,33.5,,1021.7,,,ATL
2010-01-04 04:00:00,-5.0,-14.3,48.0,0.0,,330.0,24.1,,1021.7,,,ATL
2010-01-04 06:00:00,-6.1,-13.9,54.0,0.0,,320.0,27.7,,1020.9,,,ATL
2010-01-04 08:00:00,-6.7,-13.8,57.0,0.0,,320.0,24.1,,1021.1,,,ATL
2010-01-04 10:00:00,-7.2,-13.2,62.0,0.0,,320.0,20.5,,1020.5,,,ATL
2010-01-04 12:00:00,-7.8,-12.8,67.0,0.0,,320.0,22.3,,1021.3,,,ATL
2010-01-04 14:00:00,-7.2,-12.8,64.0,0.0,,320.0,33.5,,1022.1,,,ATL
2010-01-04 16:00:00,-3.3,-12.2,50.0,0.0,,320.0,25.9,,1022.3,,,ATL
2010-01-04 18:00:00,-2.2,-11.7,48.0,0.0,,300.0,25.9,,1020.7,,,ATL
2010-01-04 20:00:00,-1.1,-11.0,47.0,0.0,,310.0,27.7,,1020.0,,,ATL
2010-01-04 22:00:00,-1.1,-10.7,48.0,0.0,,330.0,24.1,,1020.2,,,ATL
2010-01-05 00:00:00,-2.8,-11.0,53.0,0.0,,330.0,25.9,,1021.3,,,ATL
2010-01-05 02:00:00,-3.9,-10.5,60.0,0.0,,320.0,25.9,,1022.1,,,ATL
2010-01-05 04:00:00,-5.0,-11.1,62.0,0.0,,330.0,24.1,,1022.0,,,ATL
2010-01-05 06:00:00,-6.1,-11.0,68.0,0.0,,320.0,22.3,,1021.9,,,ATL
2010-01-05 08:00:00,-6.7,-11.1,71.0,0.0,,320.0,18.4,,1022.3,,,ATL
2010-01-05 10:00:00,-7.2,-11.0,74.0,0.0,,310.0,22.3,,1022.1,,,ATL
2010-01-05 12:00:00,-7.8,-11.6,74.0,0.0,,310.0,16.6,,1023.0,,,ATL
2010-01-05 14:00:00,-7.2,-11.7,70.0,0.0,,310.0,18.4,,1023.8,,,ATL
2010-01-05 16:00:00,-3.9,-12.8,50.0,0.0,,330.0,20.5,,1024.5,,,ATL
2010-01-05 18:00:00,-1.1,-13.9,37.0,0.0,,300.0,22.3,,1022.6,,,ATL
2010-01-05 20:00:00,0.6,-13.4,34.0,0.0,,310.0,18.4,,1021.5,,,ATL
2010-01-05 22:00:00,0.0,-12.6,38.0,0.0,,310.0,20.5,,1022.0,,,ATL
2010-01-06 00:00:00,-1.7,-13.8,39.0,0.0,,300.0,18.4,,1022.6,,,ATL
2010-01-06 02:00:00,-2.8,-13.9,42.0,0.0,,300.0,29.5,,1023.2,,,ATL
2010-01-06 04:00:00,-4.4,-13.2,50.0,0.0,,310.0,22.3,,1023.0,,,ATL
2010-01-06 06:00:00,-5.0,-13.3,52.0,0.0,,310.0,20.5,,1023.1,,,ATL
2010-01-06 08:00:00,-5.6,-13.9,52.0,0.0,,330.0,25.9,,1022.6,,,ATL
2010-01-06 10:00:00,-6.7,-14.4,54.0,0.0,,320.0,18.4,,1022.7,,,ATL
2010-01-06 12:00:00,-7.2,-14.5,56.0,0.0,,320.0,18.4,,1023.4,,,ATL
2010-01-06 14:00:00,-6.1,-13.9,54.0,0.0,,320.0,31.7,,1024.1,,,ATL
2010-01-06 16:00:00,-2.2,-12.2,46.0,0.0,,320.0,22.3,,1024.5,,,ATL
2010-01-06 18:00:00,1.1,-11.0,40.0,0.0,,330.0,24.1,,1023.6,,,ATL
2010-01-06 20:00:00,2.8,-11.1,35.0,0.0,,330.0,25.9,,1021.9,,,ATL
2010-01-06 22:00:00,2.2,-11.7,35.0,0.0,,300.0,22.3,,1022.1,,,ATL
2010-01-07 00:00:00,-0.6,-11.6,43.0,0.0,,310.0,13.0,,1022.6,,,ATL
2010-01-07 02:00:00,-1.1,-11.8,44.0,0.0,,300.0,14.8,,1023.6,,,ATL
2010-01-07 04:00:00,-2.2,-11.2,50.0,0.0,,310.0,9.4,,1022.8,,,ATL
2010-01-07 06:00:00,-2.8,-11.8,50.0,0.0,,300.0,13.0,,1022.4,,,ATL
2010-01-07 08:00:00,-3.9,-11.2,57.0,0.0,,290.0,9.4,,1022.5,,,ATL
2010-01-07 10:00:00,-3.9,-11.2,57.0,0.0,,340.0,9.4,,1021.4,,,ATL
2010-01-07 12:00:00,-3.3,-11.0,55.0,0.0,,290.0,5.4,,1021.6,,,ATL
2010-01-07 14:00:00,-1.7,-10.5,51.0,0.0,,300.0,9.4,,1022.4,,,ATL
2010-01-07 16:00:00,1.7,-10.4,40.0,0.0,,300.0,7.6,,1022.3,,,ATL
2010-01-07 18:00:00,3.3,-13.9,27.0,0.0,,270.0,9.4,,1020.2,,,ATL
2010-01-07 20:00:00,3.9,-14.8,24.0,,,280.0,9.4,,1019.2,,,ATL
2010-01-07 22:00:00,2.8,-5.1,56.0,,,200.0,14.8,,1018.5,,,ATL
2010-01-08 00:00:00,1.7,-2.8,72.0,0.3,,280.0,5.4,,1017.9,,,ATL
2010-01-08 02:00:00,0.0,-1.1,92.0,0.3,,260.0,20.5,,1018.4,,,ATL
2010-01-08 04:00:00,0.0,-1.1,92.0,0.3,,280.0,11.2,,1018.2,,,ATL
2010-01-08 06:00:00,-1.7,-5.5,75.0,0.0,,300.0,25.9,,1018.0,,,ATL
2010-01-08 08:00:00,-5.0,-8.9,74.0,0.0,,300.0,25.9,,1019.0,,,ATL
2010-01-08 10:00:00,-6.7,-10.5,74.0,0.0,,310.0,35.3,,1019.7,,,ATL
2010-01-08 12:00:00,-7.8,-12.1,71.0,0.0,,320.0,29.5,,1020.9,,,ATL
2010-01-08 14:00:00,-8.9,-13.9,67.0,0.0,,330.0,33.5,,1022.3,,,ATL
2010-01-08 16:00:00,-6.7,-12.8,62.0,0.0,,300.0,20.5,,1023.9,,,ATL
2010-01-08 18:00:00,-6.1,-12.2,62.0,0.0,,320.0,31.3,,1023.6,,,ATL
2010-01-08 20:00:00,-4.4,-12.3,54.0,0.0,,320.0,24.1,,1023.0,,,ATL
2010-01-08 22:00:00,-5.0,-12.9,54.0,0.0,,340.0,25.9,,1023.3,,,ATL
2010-01-09 00:00:00,-6.1,-12.8,59.0,0.0,,330.0,22.3,,1024.4,,,ATL
2010-01-09 02:00:00,-6.7,-12.8,62.0,0.0,,330.0,24.1,,1025.1,,,ATL
2010-01-09 04:00:00,-7.2,-12.8,64.0,0.0,,340.0,22.3,,1025.3,,,ATL
2010-01-09 06:00:00,-8.3,-12.8,70.0,0.0,,340.0,25.9,,1024.8,,,ATL
2010-01-09 08:00:00,-8.9,-13.4,70.0,0.0,,330.0,18.4,,1025.3,,,ATL
2010-01-09 10:00:00,-10.0,-13.9,73.0,0.0,,330.0,18.4,,1025.8,,,ATL
2010-01-09 12:00:00,-10.6,-13.8,77.0,0.0,,320.0,16.6,,1026.4,,,ATL
2010-01-09 14:00:00,-9.4,-13.3,73.0,0.0,,320.0,20.5,,1027.5,,,ATL
2010-01-09 16:00:00,-5.6,-11.7,62.0,0.0,,320.0,9.4,,1028.0,,,ATL
2010-01-09 18:00:00,-2.2,-11.7,48.0,0.0,,320.0,16.6,,1026.4,,,ATL
2010-01-09 20:00:00,-0.6,-10.5,47.0,0.0,,310.0,18.4,,1025.3,,,ATL
2010-01-09 22:00:00,-1.1,-10.7,48.0,0.0,,320.0,29.5,,1025.6,,,ATL
2010-01-10 00:00:00,-3.3,-11.0,55.0,0.0,,320.0,22.3,,1026.2,,,ATL
2010-01-10 02:00:00,-4.4,-11.6,57.0,0.0,,320.0,16.6,,1027.2,,,ATL
2010-01-10 04:00:00,-5.0,-11.1,62.0,0.0,,330.0,20.5,,1027.8,,,ATL
2010-01-10 06:00:00,-6.1,-10.7,70.0,0.0,,330.0,18.4,,1028.0,,,ATL
2010-01-10 08:00:00,-7.2,-11.0,74.0,0.0,,320.0,16.6,,1028.4,,,ATL
2010-01-10 10:00:00,-7.8,-11.1,77.0,0.0,,320.0,18.4,,1028.4,,,ATL
2010-01-10 12:00:00,-7.8,-11.6,74.0,0.0,,320.0,16.6,,1030.0,,,ATL
2010-01-10 14:00:00,-6.7,-11.1,71.0,0.0,,320.0,24.1,,1031.5,,,ATL
2010-01-10 16:00:00,-3.9,-10.5,60.0,0.0,,340.0,24.1,,1032.7,,,ATL
2010-01-10 18:00:00,-1.1,-11.0,47.0,0.0,,320.0,14.8,,1031.0,,,ATL
2010-01-10 20:00:00,1.1,-11.0,40.0,0.0,,320.0,20.5,,1030.1,,,ATL
2010-01-10 22:00:00,0.6,-10.5,43.0,0.0,,320.0,22.3,,1030.4,,,ATL
2010-01-11 00:00:00,-2.2,-11.2,50.0,0.0,,320.0,11.2,,1031.5,,,ATL
2010-01-11 02:00:00,-3.3,-11.0,55.0,0.0,,310.0,13.0,,1032.1,,,ATL
2010-01-11 04:00:00,-4.4,-10.6,62.0,0.0,,310.0,16.6,,1031.9,,,ATL
2010-01-11 06:00:00,-5.0,-10.5,65.0,0.0,,310.0,13.0,,1031.2,,,ATL
2010-01-11 08:00:00,-6.1,-10.7,70.0,0.0,,290.0,9.4,,1030.3,,,ATL
2010-01-11 10:00:00,-7.8,-11.1,77.0,0.0,,300.0,11.2,,1029.7,,,ATL
2010-01-11 12:00:00,-7.2,-11.0,74.0,0.0,,290.0,14.8,,1030.2,,,ATL
2010-01-11 14:00:00,-6.1,-10.7,70.0,0.0,,300.0,13.0,,1030.9,,,ATL
2010-01-11 16:00:00,-0.6,-11.1,45.0,0.0,,310.0,22.3,,1030.2,,,ATL
2010-01-11 18:00:00,3.9,-12.9,28.0,0.0,,280.0,22.3,,1027.9,,,ATL
2010-01-11 20:00:00,6.7,-15.3,19.0,0.0,,270.0,20.5,,1024.8,,,ATL
2010-01-11 22:00:00,6.7,-14.7,20.0,0.0,,250.0,16.6,,1024.4,,,ATL
2010-01-12 00:00:00,3.9,-14.3,25.0,0.0,,240.0,5.4,,1025.1,,,ATL
2010-01-12 02:00:00,1.7,-13.2,32.0,0.0,,260.0,7.6,,1025.4,,,ATL
2010-01-12 04:00:00,1.7,-11.8,36.0,0.0,,250.0,11.2,,1025.6,,,ATL
2010-01-12 06:00:00,1.1,-10.7,41.0,0.0,,270.0,14.8,,1024.0,,,ATL
2010-01-12 08:00:00,0.0,-9.4,49.0,0.0,,280.0,13.0,,1023.2,,,ATL
2010-01-12 10:00:00,-1.1,-8.3,58.0,0.0,,290.0,9.4,,1023.0,,,ATL
2010-01-12 12:00:00,-1.1,-7.9,60.0,0.0,,290.0,13.0,,1023.7,,,ATL
2010-01-12 14:00:00,0.0,-6.6,61.0,0.0,,310.0,14.8,,1025.3,,,ATL
2010-01-12 16:00:00,1.7,-4.4,64.0,0.0,,340.0,18.4,,1026.4,,,ATL
2010-01-12 18:00:00,0.6,-5.0,66.0,0.0,,310.0,16.6,,1026.4,,,ATL
2010-01-12 20:00:00,2.0,-6.1,55.0,0.0,,300.0,20.5,,1025.7,,,ATL
2010-01-12 22:00:00,1.7,-6.1,56.0,0.0,,340.0,27.7,,1026.2,,,ATL
2010-01-13 00:00:00,0.0,-6.6,61.0,0.0,,320.0,14.8,,1026.9,,,ATL
2010-01-13 02:00:00,-1.1,-7.9,60.0,0.0,,340.0,25.9,,1027.6,,,ATL
2010-01-13 04:00:00,-2.8,-7.9,68.0,0.0,,330.0,13.0,,1027.6,,,ATL
2010-01-13 06:00:00,-3.9,-8.2,72.0,0.0,,330.0,11.2,,1028.1,,,ATL
2010-01-13 08:00:00,-5.0,-8.2,78.0,0.0,,330.0,9.4,,1028.2,,,ATL
2010-01-13 10:00:00,-5.6,-8.8,78.0,0.0,,320.0,11.2,,1028.4,,,ATL
2010-01-13 12:00:00,-5.6,-8.8,78.0,0.0,,340.0,11.2,,1029.4,,,ATL
2010-01-13 14:00:00,-4.4,-7.8,77.0,0.0,,320.0,11.2,,1030.6,,,ATL
2010-01-13 16:00:00,1.7,-6.6,54.0,0.0,,120.0,7.6,,1030.4,,,ATL
2010-01-13 18:00:00,5.6,-5.7,44.0,0.0,,290.0,5.4,,1028.1,,,ATL
2010-01-13 20:00:00,8.3,-5.9,36.0,0.0,,0.0,0.0,,1026.1,,,ATL
2010-01-13 22:00:00,9.4,-6.1,33.0,0.0,,0.0,0.0,,1025.6,,,ATL
2010-01-14 00:00:00,7.2,-6.2,38.0,0.0,,0.0,0.0,,1026.3,,,ATL
2010-01-14 02:00:00,3.3,-5.6,52.0,0.0,,220.0,5.4,,1027.3,,,ATL
