"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2010,1,1,9,6,2010-01-09,"9E",20363,"9E","91469E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,"1056","1425",209.00,209.00,1.00,12,"1000-1059",25.00,"1450","1548",5.00,"1230","1553",203.00,203.00,1.00,12,"1200-1259",0.00,"",0.00,154.00,148.00,118.00,1.00,813.00,4,203.00,0.00,0.00,0.00,0.00,"1233",36.00,36.00,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,16,6,2010-01-16,"9E",20363,"9E","91469E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,"1056","1228",92.00,92.00,1.00,6,"1000-1059",26.00,"1254","1352",4.00,"1230","1356",86.00,86.00,1.00,5,"1200-1259",0.00,"",0.00,154.00,148.00,118.00,1.00,813.00,4,86.00,0.00,0.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,23,6,2010-01-23,"9E",20363,"9E","91869E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,"1056","1053",-3.00,0.00,0.00,-1,"1000-1059",26.00,"1119","1227",3.00,"1230","1230",0.00,0.00,0.00,0,"1200-1259",0.00,"",0.00,154.00,157.00,128.00,1.00,813.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,30,6,2010-01-30,"9E",20363,"9E","91819E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,"1056","1047",-9.00,0.00,0.00,-1,"1000-1059",21.00,"1108","1223",3.00,"1230","1226",-4.00,0.00,0.00,-1,"1200-1259",0.00,"",0.00,154.00,159.00,135.00,1.00,813.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,5,2,2010-01-05,"9E",20363,"9E","92009E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,"1755","1753",-2.00,0.00,0.00,-1,"1700-1759",26.00,"1819","1913",5.00,"1920","1918",-2.00,0.00,0.00,-1,"1900-1959",0.00,"",0.00,85.00,85.00,54.00,1.00,356.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,6,3,2010-01-06,"9E",20363,"9E","91769E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,"1755","1755",0.00,0.00,0.00,0,"1700-1759",19.00,"1814","1910",5.00,"1920","1915",-5.00,0.00,0.00,-1,"1900-1959",0.00,"",0.00,85.00,80.00,56.00,1.00,356.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,7,4,2010-01-07,"9E",20363,"9E","92289E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,"1755","1846",51.00,51.00,1.00,3,"1700-1759",37.00,"1923","2014",3.00,"1920","2017",57.00,57.00,1.00,3,"1900-1959",0.00,"",0.00,85.00,91.00,51.00,1.00,356.00,2,0.00,0.00,57.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,8,5,2010-01-08,"9E",20363,"9E","92289E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,"1755","1859",64.00,64.00,1.00,4,"1700-1759",17.00,"1916","2007",5.00,"1920","2012",52.00,52.00,1.00,3,"1900-1959",0.00,"",0.00,85.00,73.00,51.00,1.00,356.00,2,0.00,0.00,0.00,0.00,52.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,10,7,2010-01-10,"9E",20363,"9E","91619E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,"1755","1752",-3.00,0.00,0.00,-1,"1700-1759",21.00,"1813","1914",4.00,"1920","1918",-2.00,0.00,0.00,-1,"1900-1959",0.00,"",0.00,85.00,86.00,61.00,1.00,356.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2010,1,1,11,1,2010-01-11,"9E",20363,"9E","91869E","850",10397,1039703,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,14492,1449201,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,"1755","1757",2.00,2.00,0.00,0,"1700-1759",16.00,"1813","1906",7.00,"1920","1913",-7.00,0.00,0.00,-1,"1900-1959",0.00,"",0.00,85.00,76.00,53.00,1.00,356.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
